district_encoded,property_type_encoded,bedrooms,bathrooms,house_size,land_size,bed_bath_ratio,total_rooms,has_house_size,has_land_size,is_apartment,log_house_size,log_land_size
3,0,6,2,4500.0,11.8,3.0,8,1,1,0,8.412054873292933,2.5494451709255714
3,0,3,2,1600.0,7.0,1.5,5,1,1,0,7.3783837129967145,2.0794415416798357
3,0,3,3,1600.0,12.7,1.0,6,1,1,0,7.3783837129967145,2.617395832834079
3,0,3,3,2200.0,6.75,1.0,6,1,1,0,7.696667081526462,2.0476928433652555
3,0,5,3,2800.0,12.0,1.6666666666666667,8,1,1,0,7.937731775260109,2.5649493574615367
3,0,5,5,7050.0,10.0,1.0,10,1,1,0,8.860924729719041,2.3978952727983707
3,0,4,4,3500.0,10.0,1.0,8,1,1,0,8.160803920954665,2.3978952727983707
3,0,3,2,1500.0,10.0,1.5,5,1,1,0,7.313886831633462,2.3978952727983707
3,0,5,2,3000.0,20.0,2.5,7,1,1,0,8.006700845440367,3.044522437723423
5,0,10,10,6500.0,15.0,1.0,20,1,1,0,8.77971129020447,2.772588722239781
3,0,4,3,3200.0,7.0,1.3333333333333333,7,1,1,0,8.071218539969863,2.0794415416798357
3,0,5,4,2500.0,4.0,1.25,9,1,1,0,7.824445930877619,1.6094379124341003
3,0,5,5,5000.0,6.75,1.0,10,1,1,0,8.517393171418904,2.0476928433652555
3,0,4,2,1800.0,10.0,2.0,6,1,1,0,7.496097345175956,2.3978952727983707
3,0,4,2,900.0,3.0,2.0,6,1,1,0,6.803505257608338,1.3862943611198906
3,0,4,3,3000.0,50.2,1.3333333333333333,7,1,1,0,8.006700845440367,3.9357395320454622
5,0,5,2,2600.0,10.0,2.5,7,1,1,0,7.8636512654486515,2.3978952727983707
3,0,3,2,1486.0,8.0,1.5,5,1,1,0,7.304515946460155,2.1972245773362196
3,0,3,2,2000.0,6.7,1.5,5,1,1,0,7.601402334583733,2.0412203288596382
3,0,4,4,3500.0,9.0,1.0,8,1,1,0,8.160803920954665,2.302585092994046
3,0,4,2,3500.0,11.0,2.0,6,1,1,0,8.160803920954665,2.4849066497880004
3,0,5,3,3026.0,13.0,1.6666666666666667,8,1,1,0,8.01532730902172,2.6390573296152584
3,0,4,4,3800.0,10.5,1.0,8,1,1,0,8.24301946898925,2.4423470353692043
3,0,5,4,3250.0,15.0,1.25,9,1,1,0,8.086717920303906,2.772588722239781
3,0,4,3,1400.0,4.0,1.3333333333333333,7,1,1,0,7.244941546337007,1.6094379124341003
3,0,4,3,3600.0,12.0,1.3333333333333333,7,1,1,0,8.188966863648876,2.5649493574615367
3,0,4,4,2650.0,6.8,1.0,8,1,1,0,7.8826922062890254,2.0541237336955462
5,0,5,2,4000.0,10.0,2.5,7,1,1,0,8.294299608857235,2.3978952727983707
8,0,5,2,2500.0,10.0,2.5,7,1,1,0,7.824445930877619,2.3978952727983707
3,0,4,3,1943.0,6.0,1.3333333333333333,7,1,1,0,7.572502985020384,1.9459101490553132
3,0,3,3,2200.0,6.75,1.0,6,1,1,0,7.696667081526462,2.0476928433652555
5,0,4,4,1550.0,6.0,1.0,8,1,1,0,7.346655163176539,1.9459101490553132
3,0,4,4,2600.0,15.0,1.0,8,1,1,0,7.8636512654486515,2.772588722239781
5,0,3,2,3200.0,15.0,1.5,5,1,1,0,8.071218539969863,2.772588722239781
3,0,5,3,2500.0,22.0,1.6666666666666667,8,1,1,0,7.824445930877619,3.1354942159291497
3,0,4,3,2700.0,12.0,1.3333333333333333,7,1,1,0,7.901377353792616,2.5649493574615367
3,0,9,5,4000.0,14.0,1.8,14,1,1,0,8.294299608857235,2.70805020110221
3,0,3,2,2000.0,10.0,1.5,5,1,1,0,7.601402334583733,2.3978952727983707
3,0,7,4,4250.0,13.0,1.75,11,1,1,0,8.35490952835879,2.6390573296152584
3,0,3,3,1290.0,7.0,1.0,6,1,1,0,7.1631723908466425,2.0794415416798357
3,0,2,2,1850.0,9.6,1.0,4,1,1,0,7.523481312573497,2.3608540011180215
3,0,4,3,3150.0,6.0,1.3333333333333333,7,1,1,0,8.055475141757274,1.9459101490553132
3,0,3,3,3000.0,6.75,1.0,6,1,1,0,8.006700845440367,2.0476928433652555
3,0,3,2,1640.0,6.0,1.5,5,1,1,0,7.403061091090091,1.9459101490553132
3,0,4,4,3200.0,9.0,1.0,8,1,1,0,8.071218539969863,2.302585092994046
5,0,4,3,4150.0,7.0,1.3333333333333333,7,1,1,0,8.33110454805304,2.0794415416798357
3,0,2,2,1800.0,12.4,1.0,4,1,1,0,7.496097345175956,2.5952547069568657
3,0,3,2,1200.0,7.0,1.5,5,1,1,0,7.0909098220799835,2.0794415416798357
3,0,4,3,3600.0,12.3,1.3333333333333333,7,1,1,0,8.188966863648876,2.5877640352277083
3,0,3,2,1138.0,9.5,1.5,5,1,1,0,7.037905963447182,2.3513752571634776
3,0,2,2,1180.0,9.3,1.0,4,1,1,0,7.074116816197362,2.33214389523559
5,0,3,2,2000.0,12.0,1.5,5,1,1,0,7.601402334583733,2.5649493574615367
3,0,3,3,1200.0,6.0,1.0,6,1,1,0,7.0909098220799835,1.9459101490553132
3,0,3,1,1600.0,6.2,3.0,4,1,1,0,7.3783837129967145,1.9740810260220096
3,0,3,3,3000.0,12.0,1.0,6,1,1,0,8.006700845440367,2.5649493574615367
3,0,4,2,2266.0,6.0,2.0,6,1,1,0,7.726212650507529,1.9459101490553132
3,0,4,3,1200.0,27.0,1.3333333333333333,7,1,1,0,7.0909098220799835,3.332204510175204
3,0,6,3,4000.0,14.0,2.0,9,1,1,0,8.294299608857235,2.70805020110221
3,0,3,3,1280.0,7.04,1.0,6,1,1,0,7.155396301896734,2.0844290831908747
3,0,5,2,2500.0,10.0,2.5,7,1,1,0,7.824445930877619,2.3978952727983707
3,0,3,2,1590.0,6.0,1.5,5,1,1,0,7.372118028337787,1.9459101490553132
3,0,3,3,1707.0,10.0,1.0,6,1,1,0,7.443078374348516,2.3978952727983707
3,0,3,2,1200.0,6.0,1.5,5,1,1,0,7.0909098220799835,1.9459101490553132
3,0,3,2,1340.0,7.0,1.5,5,1,1,0,7.201170883281678,2.0794415416798357
3,0,3,2,1280.0,7.0,1.5,5,1,1,0,7.155396301896734,2.0794415416798357
